UT (Unique WOS ID),R0-IR1-RF-qwen2.5,R2-IR9-RF-llama3.2,R6-IR3-RF-qwen2.5,R0-IR1-IF-qwen2.5,R0-IR1-IF-llama3.2,R3-IR6-RF-llama3.2,R1-IR0-RF-llama3.2,R5-IR3-RF-llama3.2,R3-IR2-RF-llama3.2,R2-IR3-RF-qwen2.5,R6-IR3-RF-llama3.2,R3-IR2-RF-qwen2.5,R9-IR2-RF-qwen2.5,R3-IR6-RF-qwen2.5,R1-IR0-IF-llama3.2,R5-IR3-RF-qwen2.5,R1-IR0-IF-qwen2.5,R3-IR5-RF-qwen2.5,R0-IR1-RF-llama3.2,R2-IR3-RF-llama3.2,R1-IR0-RF-qwen2.5,R3-IR5-RF-llama3.2,R9-IR2-RF-llama3.2,R2-IR9-RF-qwen2.5,True_Count,False_Count,Agreement_Rate,Category,Human,Consensus_Label,Consensus_Correct
WOS:000994810000001,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,22,0.9166666666666666,Majority False,0,0,True
WOS:000879862100005,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4,20,0.8333333333333334,Majority False,0,0,True
WOS:000341335300096,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,22,0.9166666666666666,Majority False,0,0,True
WOS:000654473200001,1,0,1,1,1,0,0,0,0,1,0,0,0,1,1,0,1,1,1,0,1,0,1,1,13,11,0.5416666666666666,Majority True,1,1,True
WOS:001715199200001,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,5,19,0.7916666666666666,Majority False,0,0,True
WOS:001450480400001,0,1,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,0,1,1,0,13,11,0.5416666666666666,Majority True,1,1,True
WOS:000600580200001,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,22,0.9166666666666666,Majority False,0,0,True
WOS:001513488400001,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,0,17,7,0.7083333333333334,Majority True,1,1,True
WOS:000719373600001,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0,0,1,10,14,0.5833333333333334,Majority False,0,0,True
WOS:001145337400001,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,8,16,0.6666666666666666,Majority False,0,0,True
WOS:001050906200001,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,5,19,0.7916666666666666,Majority False,0,0,True
WOS:000771013100006,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5,19,0.7916666666666666,Majority False,0,0,True
WOS:001615122400005,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4,20,0.8333333333333334,Majority False,0,0,True
WOS:000569660900001,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4,20,0.8333333333333334,Majority False,0,0,True
WOS:000330205000056,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,21,3,0.875,Majority True,1,1,True
WOS:001604764500001,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1,18,6,0.75,Majority True,1,1,True
WOS:000310401600003,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,0,1,1,0,1,1,1,17,7,0.7083333333333334,Majority True,1,1,True
WOS:001167907100001,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,19,0.7916666666666666,Majority False,1,0,False
WOS:001430155800001,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,22,0.9166666666666666,Majority False,0,0,True
WOS:001149507100001,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,22,0.9166666666666666,Majority False,0,0,True
WOS:000941493200001,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,21,0.875,Majority False,0,0,True
WOS:001673859500001,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,6,18,0.75,Majority False,0,0,True
WOS:000405017700001,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,22,0.9166666666666666,Majority False,0,0,True
WOS:A1994QA53300017,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,22,0.9166666666666666,Majority False,0,0,True
WOS:000362115300001,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,21,0.875,Majority False,0,0,True
WOS:001357373000001,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,22,0.9166666666666666,Majority False,0,0,True
WOS:001684485500001,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,4,20,0.8333333333333334,Majority False,0,0,True
WOS:000722894900003,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,21,0.875,Majority False,0,0,True
WOS:001107502000001,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,22,0.9166666666666666,Majority False,0,0,True
WOS:000892628100004,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,22,0.9166666666666666,Majority False,0,0,True
WOS:000419417300021,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,0,1,1,0,16,8,0.6666666666666666,Majority True,1,1,True
WOS:000369191300004,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,21,0.875,Majority False,0,0,True
WOS:001325326500001,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,5,19,0.7916666666666666,Majority False,1,0,False
WOS:001600355200001,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,6,18,0.75,Majority False,0,0,True
WOS:001194970700004,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,0,1,1,0,15,9,0.625,Majority True,0,1,False
WOS:001200388300001,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,5,19,0.7916666666666666,Majority False,0,0,True
WOS:000793661100010,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,20,0.8333333333333334,Majority False,0,0,True
WOS:000308386700011,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,21,0.875,Majority False,0,0,True
WOS:000448339100002,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,22,0.9166666666666666,Majority False,0,0,True
WOS:000716118900004,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4,20,0.8333333333333334,Majority False,0,0,True
WOS:000311183800011,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,22,0.9166666666666666,Majority False,0,0,True
WOS:000242772600022,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,22,0.9166666666666666,Majority False,0,0,True
WOS:000399028800015,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,22,0.9166666666666666,Majority False,0,0,True
WOS:000415227000016,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,22,0.9166666666666666,Majority False,0,0,True
WOS:000298128100202,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,22,0.9166666666666666,Majority False,0,0,True
WOS:A1989AA60700003,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,22,0.9166666666666666,Majority False,0,0,True
WOS:000250980100002,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,22,0.9166666666666666,Majority False,0,0,True
WOS:000225142500009,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,22,0.9166666666666666,Majority False,0,0,True
WOS:A1977DB66300014,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,22,0.9166666666666666,Majority False,0,0,True
WOS:001604675000020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,22,0.9166666666666666,Majority False,0,0,True
WOS:000393660500001,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,22,0.9166666666666666,Majority False,0,0,True
WOS:000417129100002,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,22,0.9166666666666666,Majority False,0,0,True
WOS:000233335100024,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,22,0.9166666666666666,Majority False,0,0,True
WOS:000302381500121,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,22,0.9166666666666666,Majority False,0,0,True
WOS:001300141900001,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,22,0.9166666666666666,Majority False,0,0,True
WOS:000249241500001,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,22,0.9166666666666666,Majority False,0,0,True
WOS:000227978200061,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,22,0.9166666666666666,Majority False,0,0,True
WOS:000227217100036,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,22,0.9166666666666666,Majority False,0,0,True
WOS:000175963500006,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,22,0.9166666666666666,Majority False,0,0,True
WOS:001749469800001,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,21,0.875,Majority False,0,0,True
WOS:000301519500029,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,22,0.9166666666666666,Majority False,0,0,True
WOS:000387836800042,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,22,0.9166666666666666,Majority False,0,0,True
WOS:A1995RD73300021,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,22,0.9166666666666666,Majority False,0,0,True
WOS:000323358700029,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,21,0.875,Majority False,0,0,True
WOS:000954725100001,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,22,0.9166666666666666,Majority False,0,0,True
WOS:000426336300021,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,22,0.9166666666666666,Majority False,0,0,True
WOS:000632847800005,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,21,0.875,Majority False,0,0,True
WOS:000272761300035,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,22,0.9166666666666666,Majority False,0,0,True
WOS:000232260700064,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,22,0.9166666666666666,Majority False,0,0,True
WOS:000073713500013,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,22,0.9166666666666666,Majority False,0,0,True
WOS:000079725200099,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,22,0.9166666666666666,Majority False,0,0,True
WOS:001463888400001,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,22,0.9166666666666666,Majority False,0,0,True
WOS:000311562900052,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,21,0.875,Majority False,0,0,True
WOS:000182146700113,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,22,0.9166666666666666,Majority False,0,0,True
WOS:000235283600011,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,22,0.9166666666666666,Majority False,0,0,True
WOS:001558014100001,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,22,0.9166666666666666,Majority False,0,0,True
WOS:000501402400001,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,22,0.9166666666666666,Majority False,0,0,True
WOS:001239612200001,0,1,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,1,0,1,1,0,11,13,0.5416666666666666,Majority False,0,0,True
WOS:A1986A941900032,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,22,0.9166666666666666,Majority False,0,0,True
WOS:000382595900010,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,22,0.9166666666666666,Majority False,0,0,True
WOS:A1992JG13400008,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,22,0.9166666666666666,Majority False,0,0,True
WOS:001138897000001,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,5,19,0.7916666666666666,Majority False,0,0,True
WOS:000177105000023,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,22,0.9166666666666666,Majority False,0,0,True
WOS:001539106600001,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,21,3,0.875,Majority True,1,1,True
WOS:001475819300001,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,21,0.875,Majority False,0,0,True
WOS:A1993KY63000004,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,22,0.9166666666666666,Majority False,0,0,True
WOS:000606520400034,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,22,0.9166666666666666,Majority False,0,0,True
WOS:000341465400022,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,21,0.875,Majority False,0,0,True
WOS:000080777500082,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,22,0.9166666666666666,Majority False,0,0,True
WOS:A1991FL50300006,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,22,0.9166666666666666,Majority False,0,0,True
WOS:000230436600014,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,22,0.9166666666666666,Majority False,0,0,True
WOS:000247657200237,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,22,0.9166666666666666,Majority False,0,0,True
WOS:000603659400001,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,22,0.9166666666666666,Majority False,0,0,True
WOS:000493525500088,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4,20,0.8333333333333334,Majority False,0,0,True
WOS:000183395300017,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,22,0.9166666666666666,Majority False,0,0,True
WOS:A1996TV33900014,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,22,0.9166666666666666,Majority False,0,0,True
WOS:000308329000003,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,22,0.9166666666666666,Majority False,0,0,True
WOS:001140776000002,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,22,0.9166666666666666,Majority False,0,0,True
WOS:000075051600030,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,22,0.9166666666666666,Majority False,0,0,True
WOS:000242180700040,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,22,0.9166666666666666,Majority False,0,0,True
WOS:A1997XZ34400018,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,22,0.9166666666666666,Majority False,0,0,True
WOS:000392168800085,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,22,0.9166666666666666,Majority False,0,0,True
WOS:000311183800009,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,22,0.9166666666666666,Majority False,0,0,True
WOS:A1979HA99600003,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,22,0.9166666666666666,Majority False,0,0,True
WOS:A1996UP83800019,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,22,0.9166666666666666,Majority False,0,0,True
WOS:000311183800004,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,22,0.9166666666666666,Majority False,0,0,True
WOS:001429246900001,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,22,0.9166666666666666,Majority False,0,0,True
WOS:000168439400030,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,22,0.9166666666666666,Majority False,0,0,True
WOS:A1990DU95400088,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,22,0.9166666666666666,Majority False,0,0,True
WOS:000880804100001,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,22,0.9166666666666666,Majority False,0,0,True
WOS:000242194900002,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,22,0.9166666666666666,Majority False,0,0,True
