ID,Title,Abstract
11,"The Effects of Artificial Lighting on Circadian Rhythms in Captive Rabbits","This study investigates how artificial lighting influences circadian rhythms in domestic rabbits (*Oryctolagus cuniculus*). Using continuous activity monitoring, researchers found that exposure to constant low-level artificial light disrupted normal sleep-wake cycles, reducing nocturnal activity by 30%. Results suggest that controlled light-dark cycles are essential for maintaining healthy physiological rhythms in indoor-housed rabbits."
12,"Behavioral Responses of Rabbits to Different Handling Techniques","Handling stress is a common issue in veterinary and research settings involving rabbits. This observational study compares behavioral indicators of stress during three common handling methods: scruffing, tunnel restraint, and free-hand support. Tunnel restraint was associated with the lowest signs of distress, suggesting it may be a preferable method for minimizing stress during routine procedures."
13,"Impact of Bedding Material on Pododermatitis Incidence in Domestic Rabbits","Pododermatitis (sore hocks) is a prevalent condition in captive rabbits. This longitudinal study examines the effect of different bedding materials—wood shavings, paper-based, and fleece liners—on foot health in 60 rabbits over six months. Fleece-lined enclosures showed significantly lower incidence of pododermatitis, highlighting its potential as a welfare-friendly alternative."
14,"Reproductive Success Rates in Semi-Feral Rabbit Colonies Across Seasons","This field study evaluates seasonal variations in reproductive success among semi-feral rabbit populations. Data collected over one year indicate peak breeding activity in spring and early summer, with litter sizes decreasing significantly in winter months. Environmental temperature and food availability were identified as key factors influencing reproductive output."
15,"Auditory Sensitivity and Sound Discrimination in Young Rabbits","Using conditioned response techniques, this study explores auditory perception in juvenile rabbits. Results show that young rabbits can distinguish between high-frequency tones (<20 kHz) and respond differently to predator vs. non-predator sounds. These findings suggest an early-developing capacity for sound discrimination that may aid survival in natural environments."
16,"Effectiveness of Clicker Training in Modifying Fear-Based Behavior in Rescue Rabbits","Clicker training has gained popularity as a behavior modification tool in dogs but remains underexplored in rabbits. A pilot program involving 20 rescued rabbits found significant reductions in fear behaviors after four weeks of daily clicker sessions. Trained rabbits exhibited increased willingness to approach humans and interact with novel objects."
17,"Nutritional Composition of Wild Forage and Its Suitability for Pet Rabbits","Pet rabbit diets often rely on commercial pellets, which may not fully replicate the nutritional complexity of wild forage. This comparative analysis shows that wild grasses and herbs contain higher fiber and lower starch content than most commercial feeds. Recommendations are made for integrating more diverse plant matter into pet rabbit diets for improved digestive health."
18,"The Role of Burrow Architecture in Thermoregulation Among Wild Rabbit Populations","Burrow structure plays a critical role in thermal regulation for wild rabbits. This ecological study compares burrow designs across varying climates and finds that deeper, multi-entrance burrows provide better insulation during extreme weather conditions. Such insights may inform habitat conservation strategies and enclosure design for captive rabbits."
19,"Evaluation of Common Analgesics for Postoperative Pain Management in Rabbits","Post-surgical pain management in rabbits is often challenging due to species-specific drug metabolism. This clinical trial compares the efficacy and safety of meloxicam, buprenorphine, and carprofen in post-operative recovery. Buprenorphine showed superior analgesia without significant side effects, making it a promising candidate for standard rabbit surgical protocols."
20,"The Influence of Cage Size on Physical Activity and Muscle Development in Juvenile Rabbits","Restricted movement in small cages may impact physical development in growing rabbits. This experimental study measured locomotor activity and muscle mass in rabbits housed in varying cage sizes. Larger cages correlated with increased hopping frequency and greater hindlimb muscle tone, supporting the need for minimum space standards in rabbit housing."
21,"Social Learning in Rabbits: Observational Learning of Food Preferences","This study tests whether rabbits can learn food preferences through observation. Subjects observed conspecifics consuming either preferred or less-preferred foods and later selected food items based on prior observation. The results indicate that rabbits exhibit basic social learning capabilities, which could be applied in dietary training and enrichment programs."
22,"Evaluating the Use of Virtual Fencing in Controlling Free-Ranging Rabbit Movement","Virtual fencing technology, commonly used in livestock, is explored here for managing rabbit populations. Trials using auditory cues to define boundaries showed moderate success, with some rabbits adapting to the system within two weeks. Further refinement may lead to humane, non-invasive population control tools."
23,"Development and Validation of a Rabbit-Specific Behavioral Pain Scale","Accurate pain assessment in rabbits is crucial for both clinical care and research ethics. This study develops and validates a comprehensive behavioral pain scale tailored specifically to rabbits. The scale incorporates ear position, posture, grooming habits, and vocalization, and demonstrates strong inter-rater reliability and sensitivity to change over time."
24,"The Effect of Ultraviolet Light Exposure on Vitamin D Synthesis in Indoor-Housed Rabbits","Vitamin D deficiency is common in indoor-housed rabbits. This experimental study measures serum vitamin D levels in rabbits exposed to artificial UVB light. After eight weeks, UVB-exposed rabbits showed a significant increase in 25(OH)D concentrations compared to controls, suggesting that UV supplementation can help prevent metabolic bone disease in indoor rabbits."
25,"Exploring the Impact of Human Interaction on Longevity in Companion Rabbits","A retrospective analysis of 200 companion rabbits found a positive correlation between regular human interaction and lifespan. Rabbits receiving daily handling, playtime, and mental stimulation lived an average of 2.4 years longer than those with minimal interaction. These findings underscore the importance of enriched human-animal relationships in promoting longevity in pet rabbits."
